ERROR :: 2017-08-06 07:22:53,332 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:22:54,763 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:22:54,774 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:22:54,930 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:23:13,674 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:23:13,685 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:23:13,837 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:23:26,295 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:23:26,306 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:23:26,459 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:23:27,073 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:23:27,083 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:23:27,237 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:23:28,131 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:23:28,142 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:23:28,292 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
ERROR :: 2017-08-06 07:23:39,125 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "LN_TWR"
ERROR :: 2017-08-06 07:23:39,136 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "ML_APP"
ERROR :: 2017-08-06 07:23:39,288 :: Unknown prefix - cannot find geographical location for callsign from callsign_to_loc - "SY_APP"
